credit_score,monthly_income,max_rent,employment_years,prior_evictions,signed_lease
792,14892,3935,10,0,1
598,14456,5691,8,1,0
671,16498,4374,6,0,1
713,8805,1601,9,0,1
534,4898,2174,7,0,0
726,15221,1423,5,0,1
600,9495,5813,8,0,0
630,14927,1435,5,0,1
756,16282,4698,6,0,1
504,9799,5411,6,0,0
717,6682,4434,8,0,0
754,12403,1425,10,0,1
782,4730,3477,7,0,0
706,9011,5477,12,0,1
514,2628,2541,0,0,0
845,11961,5236,3,0,1
541,6172,1409,6,1,0
678,12293,4927,10,0,0
562,7265,5128,7,0,0
730,6470,4003,6,0,0
740,10045,2309,11,0,1
551,14936,3226,2,0,1
595,15772,1593,14,0,1
721,15639,2043,3,0,1
730,8052,2724,11,0,0
736,3127,1803,6,0,0
642,14489,1781,7,0,0
670,16280,3139,6,0,1
528,9089,1332,5,0,0
535,4544,4038,8,0,0
512,14244,4585,8,0,1
659,15671,4970,10,0,1
826,4841,3468,12,1,0
686,8384,2175,6,0,1
742,13906,3013,7,0,1
585,10685,4463,5,0,1
783,2749,2743,0,0,0
565,5425,4035,0,0,0
669,7543,3938,5,0,0
544,3474,2557,1,0,0
561,12017,5334,13,0,0
633,9692,2516,7,0,1
783,17624,1361,0,0,1
527,11675,3109,12,0,0
607,11580,2327,1,0,1
543,13629,5070,7,0,1
839,12809,2858,11,0,1
785,5172,4325,5,0,1
830,15662,3163,11,0,0
627,9779,3489,9,0,0
847,10031,2166,1,0,1
730,12018,2089,1,0,1
689,11162,4261,10,0,0
724,4487,4829,13,0,1
782,2590,4389,6,0,0
620,11221,3948,4,0,0
615,15448,2866,4,0,1
732,6559,4266,7,0,0
758,15526,2641,11,0,1
697,5273,2267,11,0,0
636,15659,5423,6,0,0
817,12378,4123,11,0,1
664,10883,5453,13,0,0
724,12678,5056,8,0,1
806,14315,2026,3,0,1
733,9909,5807,9,0,1
671,12877,5185,3,0,1
651,6940,3292,1,0,0
814,9847,4379,2,0,1
659,3508,5738,0,0,0
595,6283,5101,0,0,0
732,9146,3562,6,0,1
679,6798,3424,13,0,0
612,7168,2926,13,0,0
817,6787,3206,4,0,1
551,4552,1466,2,0,1
767,8509,2037,6,0,1
794,14000,5784,13,0,0
612,4216,5997,1,0,1
600,2810,1886,2,0,0
612,17384,4561,0,0,1
580,16891,1556,7,0,1
686,7038,5015,1,0,0
612,3760,2071,14,0,1
501,15657,3173,6,0,1
629,6432,5847,10,0,1
719,13960,3010,8,0,1
553,3084,5618,5,0,0
842,16382,3841,1,0,0
723,13491,3428,1,0,0
724,16325,4591,8,0,1
625,10116,5378,9,0,0
629,11051,3550,7,0,0
552,16511,5557,13,0,1
671,5366,3939,13,1,0
717,16865,3930,13,0,1
659,8398,2518,8,0,0
697,4511,2735,3,0,0
746,8751,5984,3,0,1
823,7439,3643,14,0,0
702,6506,2972,14,0,1
683,4125,4409,1,0,0
622,13456,2077,13,0,1
754,3390,4070,9,0,1
793,16779,4400,0,1,0
779,8578,5344,9,0,1
824,15747,4947,12,0,1
597,16256,4036,3,0,1
697,9536,1492,9,0,0
739,16249,2851,9,0,1
643,11423,5831,10,0,0
596,6461,5606,7,0,0
700,15393,1736,1,1,0
623,5004,3886,12,0,1
686,11306,1433,11,0,0
825,6306,3852,10,0,0
848,17533,3574,7,0,1
758,8600,3472,0,0,0
647,4219,2166,14,0,0
751,15461,2089,0,0,1
845,16058,5063,3,0,1
646,9186,4600,6,1,0
647,4087,1234,8,0,1
698,9500,5742,4,0,0
807,12303,4723,1,0,1
627,3396,2963,11,0,0
538,8058,4491,6,0,1
837,10969,3688,10,0,0
628,7147,3900,1,0,0
766,12328,2758,8,1,1
650,12850,5890,8,0,0
797,4932,3476,2,0,1
598,6404,5206,12,0,0
762,15548,5639,7,0,1
751,13954,2303,10,0,1
643,9337,2619,3,0,1
845,3949,2678,2,0,1
611,7000,5114,0,0,0
559,7954,4942,4,0,1
501,11924,4156,12,1,0
803,6617,2582,13,1,0
753,11369,3774,10,1,0
639,13350,4584,3,0,0
536,4528,2769,0,1,0
659,16019,3094,9,1,0
508,16843,3443,7,1,0
732,9345,3066,7,0,1
598,6258,1228,12,0,0
646,8404,1905,7,0,0
803,7124,2220,2,0,0
707,12729,3263,5,0,1
630,13341,2646,11,0,1
651,16464,4864,11,1,0
553,11348,4187,6,0,1
619,2665,4802,8,0,0
660,15636,4885,4,1,0
615,7091,4568,8,1,0
574,3089,4781,5,0,0
612,7024,3962,9,0,1
603,5321,5237,9,0,1
839,14950,1772,9,0,0
753,9009,5288,3,0,0
726,10193,1814,12,0,1
611,11954,5250,0,0,1
598,2571,1525,0,0,0
652,14208,4940,13,1,0
848,15442,1558,9,0,1
837,6080,4977,4,0,0
693,10462,3571,12,0,1
809,2768,2921,13,0,1
662,12468,2549,2,1,0
707,4962,4896,4,0,0
668,11960,5096,4,0,0
660,3515,5460,0,0,0
567,13414,2796,13,0,0
788,11775,2827,7,0,1
776,14793,3702,4,0,1
803,15769,5008,4,0,0
634,17405,1392,8,0,1
694,10484,3874,7,0,0
627,2906,5045,12,0,1
532,9884,3777,0,0,0
675,8549,1291,2,0,1
521,8669,5434,11,0,0
737,10482,1680,6,0,1
657,13768,4116,0,0,1
537,3485,5635,0,0,0
729,14295,2275,4,0,1
550,6985,3713,8,1,0
763,11401,1998,5,0,1
782,5118,5770,9,0,0
526,16259,5149,1,1,0
725,15541,1804,10,0,1
776,8789,4179,8,0,1
785,12103,1797,5,0,1
596,9428,2732,4,0,1
783,7868,1713,4,0,1
816,7121,3077,14,0,0
803,12177,5172,11,0,1
646,16848,5043,2,0,1
503,13642,2899,13,1,0
534,17219,2229,5,0,0
691,15343,5795,14,0,0
548,13626,1916,14,0,0
516,10066,5286,12,0,0
671,14806,1865,3,0,0
719,7170,3408,12,1,0
657,10158,2279,11,0,1
545,17586,1427,9,0,1
505,3503,1348,13,0,0
598,13158,2269,14,0,1
732,10004,5927,1,0,0
536,4966,2563,12,0,0
779,12630,5708,2,0,1
848,4439,2955,8,1,0
801,4135,1719,10,0,1
680,12390,4744,10,0,0
594,10595,3522,8,0,1
598,8765,2302,5,0,1
687,15219,1797,9,0,1
615,12783,4473,9,0,0
690,4395,5249,13,0,0
752,16731,3805,8,0,1
660,16128,3388,3,0,1
755,9024,1788,10,0,1
822,14932,5672,4,0,1
627,14090,2607,9,0,1
517,17198,5922,5,0,0
780,3573,4590,12,0,0
722,7684,4640,14,0,0
553,4902,2829,8,0,0
557,7395,2194,12,0,1
822,9831,5998,4,0,1
673,13904,3259,7,0,0
779,14729,5772,10,0,1
613,17661,4186,0,1,0
787,11843,1600,4,1,0
841,13137,4055,9,0,1
650,4456,3424,0,0,0
626,9523,4612,9,1,0
654,15250,1256,13,0,0
772,16562,3075,5,0,1
603,16833,5743,6,0,0
798,6407,5498,11,0,1
745,3307,4968,13,0,0
675,10878,5497,4,0,0
538,16531,2553,0,0,0
669,7327,3610,5,0,0
746,16723,5511,9,0,1
525,16001,3802,4,0,0
805,16199,4134,5,0,1
512,7024,1222,10,0,1
815,17693,3402,9,0,1
812,11999,2409,14,0,1
535,4784,3496,6,0,0
672,7813,1948,6,1,0
519,16098,2004,1,0,0
820,15558,1333,14,0,1
763,3257,5616,11,0,1
641,14923,3637,2,0,1
642,7387,1633,11,0,1
591,6354,4871,5,0,0
821,14958,4936,2,0,1
787,12898,5239,1,0,0
714,17036,3298,3,0,1
841,6058,4117,4,0,0
550,12272,1452,10,0,0
652,3461,2329,9,0,1
685,6347,4464,8,0,0
562,9226,1501,2,0,0
689,6075,3177,2,0,0
624,11567,3963,5,0,1
649,4918,5205,4,1,0
813,6698,4441,5,0,0
557,3501,4257,6,0,0
841,7744,1750,10,0,1
804,14076,2787,2,0,1
679,9619,3022,14,0,1
669,6566,4417,12,0,0
825,5345,4696,4,0,0
770,12173,5609,7,0,0
553,13993,5479,3,0,0
600,11349,1912,9,0,1
763,17717,3375,1,0,0
552,7816,5272,3,0,0
559,13472,5049,1,0,0
607,2922,3633,2,0,0
504,9215,4501,3,0,0
602,14373,1470,3,0,1
695,6766,2994,9,0,0
761,10049,3662,8,0,0
849,8816,5493,9,0,1
546,5210,4594,5,0,1
810,11144,2279,8,1,0
807,13089,4078,3,0,1
643,10569,5923,8,1,0
768,12667,1803,10,0,1
623,4157,2785,12,0,0
605,5041,4257,8,0,0
657,9263,5185,5,0,0
646,5575,5889,4,0,0
644,5664,2595,2,0,0
619,13658,4888,13,0,0
818,4553,1799,14,0,0
774,10979,1713,4,0,0
591,8237,2266,14,0,1
557,5717,4086,2,0,1
845,14546,3853,4,0,1
728,3947,2288,4,0,1
616,8509,5585,1,0,0
817,3107,3714,13,0,0
778,7052,5169,13,0,1
626,4264,4484,8,0,1
628,11917,5766,14,0,0
557,11927,3396,6,0,1
621,11721,5383,13,1,0
500,5171,1989,5,0,1
738,9019,4675,4,0,1
789,6462,4353,14,0,0
595,15234,2864,3,0,1
625,15622,2509,7,0,1
617,5677,2064,1,0,0
547,6222,5063,7,0,0
588,7406,4563,0,0,0
736,16212,4724,9,0,1
771,9763,4986,0,0,1
688,16199,1223,2,0,1
691,7554,4203,4,0,0
568,12167,1510,13,0,0
777,13588,2431,5,0,1
848,3308,4988,3,1,0
746,11670,3911,6,0,0
575,13155,1621,6,1,0
653,3225,2973,1,0,0
643,13193,4768,1,0,0
585,14054,2146,1,0,0
684,10201,2386,14,0,0
784,3716,3034,13,0,1
719,6551,2764,14,0,0
568,4697,3147,1,0,0
546,16691,2508,12,0,1
593,5306,4186,8,0,0
737,11470,1586,13,0,1
703,3472,2361,4,0,0
717,13502,4458,10,0,1
840,17837,5133,7,0,1
538,8134,4047,4,0,0
599,16204,5721,12,0,1
788,9983,2639,10,0,1
753,4623,4642,4,0,0
721,11290,5680,0,0,1
522,14033,1255,5,0,1
749,2724,4524,3,0,0
509,16341,1305,14,1,0
745,16948,4401,2,0,1
824,17086,1869,5,0,1
599,11532,5671,1,0,0
789,4314,1942,7,0,0
679,15501,2166,0,0,1
722,3606,1507,11,0,0
749,2624,3338,8,0,1
646,5746,4664,7,0,0
595,15880,1309,0,0,0
756,17906,4832,9,0,1
824,5431,5635,11,0,1
503,16067,3115,14,0,0
515,16538,5463,8,1,0
779,14817,1756,1,0,1
835,17116,1304,2,0,0
746,5471,3247,1,0,0
757,4517,1345,12,0,1
659,9915,3963,13,0,0
839,4915,2073,7,0,0
651,15282,1498,1,0,0
677,5596,4438,9,0,1
662,4109,1845,1,0,0
532,3217,5933,14,0,0
678,6061,4278,0,0,0
600,11708,3711,6,1,0
767,14257,1983,11,0,1
822,16125,1570,1,0,1
564,15393,1686,9,0,0
667,15162,3237,4,0,1
829,9282,4396,4,0,1
542,12652,2560,2,1,0
543,3548,5487,2,0,0
784,12049,3461,12,0,1
511,14118,3821,11,0,0
594,10807,2156,2,0,0
801,12787,1580,5,0,1
752,10405,4849,13,0,0
741,12493,1438,3,0,1
534,12838,2305,12,0,1
714,8078,2586,2,0,1
836,16334,3752,1,0,1
589,4120,3449,12,0,1
763,9048,2727,2,0,0
592,9881,2867,3,0,1
589,7280,5332,5,0,1
614,13642,3891,3,0,1
604,17338,4872,7,0,0
695,6292,3196,2,0,0
813,16259,2625,11,1,0
613,5441,4012,2,0,0
574,8195,4447,2,0,0
716,8901,3792,7,0,0
776,17679,2690,3,0,1
748,16956,2424,0,0,1
663,15597,3787,1,0,1
691,11669,4264,12,0,0
726,8697,2032,13,1,0
676,13758,5892,9,0,0
598,7950,3640,12,0,0
535,11475,5995,12,0,1
595,10932,2846,13,1,0
651,8374,1640,1,1,0
650,4053,2729,13,0,0
689,15270,4165,2,0,0
723,3512,3567,5,0,0
536,10878,4486,7,0,0
767,4381,5863,11,0,0
682,9299,5531,0,1,0
512,17097,2504,8,0,1
778,15740,4234,0,0,1
716,16175,4888,9,0,1
785,7086,5173,1,0,0
772,11122,2385,2,0,1
561,10930,4462,6,0,1
583,8947,3307,8,0,0
716,4845,3040,2,0,1
841,2575,5520,7,0,0
686,12048,3947,14,0,1
518,16711,5877,8,0,0
676,17834,5464,9,0,1
599,8377,4333,6,0,0
732,9285,4620,3,0,1
575,7422,2665,3,0,1
764,10590,5309,3,0,0
783,4830,3411,5,0,0
705,7186,4004,3,0,0
722,16907,2743,4,0,1
551,17538,2889,8,1,0
838,4402,2771,11,0,0
643,16698,5741,6,0,1
568,14705,4479,7,0,1
598,7170,4741,4,1,0
524,9643,4223,4,0,0
552,15679,2018,12,0,0
650,4559,5721,10,0,0
643,2640,2324,6,0,0
556,4289,2329,10,0,0
538,14318,2902,12,0,1
608,2516,3201,13,0,0
680,15874,5078,11,0,1
541,15040,5572,7,0,0
685,2964,3006,8,0,0
722,6971,4147,14,0,0
621,4327,4409,13,0,0
632,13720,3352,1,0,0
662,11211,5841,2,0,0
714,8456,5405,11,0,0
720,2589,1744,11,0,0
734,7315,3601,1,0,0
830,5351,3564,9,1,0
645,5343,2489,6,1,0
738,15417,4965,11,0,1
575,12576,3075,1,0,0
508,14863,5628,11,0,0
573,11617,5887,13,0,0
752,14426,1982,14,0,1
729,9043,1739,1,0,0
506,8401,3982,13,0,0
673,3469,3868,13,1,0
640,3594,5914,1,0,0
667,8624,5137,14,0,0
669,9847,4156,11,0,0
782,5695,4922,12,0,1
621,3904,5067,3,0,0
693,14056,3033,0,0,0
504,9440,3346,1,0,0
528,6790,3370,2,0,0
664,6482,4591,6,0,1
838,15015,2816,9,0,1
635,14705,5817,0,0,0
820,8055,2116,5,0,1
841,10454,3956,2,0,1
644,15248,3136,2,0,1
826,7213,5242,3,0,0
716,5592,4291,12,0,1
800,6659,5855,3,0,1
631,8808,2168,6,0,1
791,12766,4564,2,0,0
569,9978,4403,7,0,0
751,17847,2089,7,0,1
774,10976,1992,10,0,1
681,16471,4658,12,0,0
666,17116,2181,6,0,1
590,7433,4731,1,0,0
701,7426,4729,4,0,0
845,11879,2001,5,0,1
518,6469,1242,11,0,0
538,5465,4549,9,0,0
625,6819,2977,3,0,0
672,11475,4401,12,0,0
640,9608,1549,9,0,0
741,11641,2767,4,0,1
719,6439,2329,13,0,0
625,17889,4159,8,0,0
557,2544,4987,10,0,0
647,4310,2980,6,0,0
816,7066,1783,1,0,1
500,12773,5727,10,0,0
847,17488,4577,0,0,1
689,14190,4601,1,0,0
690,11521,4385,2,0,0
811,4409,3394,10,0,1
616,8864,2362,1,0,1
633,16679,1498,10,0,1
557,5081,4547,2,0,0
543,3191,3139,9,0,0
672,14711,1988,14,0,0
659,16178,4089,10,0,0
672,3431,2577,10,0,0
816,15628,3149,14,0,1
802,10410,4472,11,0,1
648,17846,2077,13,0,1
579,16726,4942,11,0,1
712,16361,2777,8,0,1
702,17417,4339,3,0,0
751,17975,3692,11,0,1
728,8882,3955,8,0,1
663,5906,3103,10,0,0
726,17276,2582,2,0,1
646,10839,5440,11,0,0
519,3532,3522,0,0,0
546,3811,3756,10,0,0
732,11079,3061,4,0,1
804,5621,3066,9,0,1
513,4373,5247,9,0,0
642,14280,4375,13,0,1
500,11607,2298,1,0,0
553,12570,2934,3,1,0
758,9281,5863,1,0,0
643,6248,4616,1,0,1
511,2777,5826,12,0,0
829,12669,1880,2,0,1
723,4359,3270,4,0,1
771,13728,2929,3,0,1
655,14063,3391,1,1,0
507,16613,1867,14,0,0
621,17424,2812,10,0,1
847,8429,1880,13,0,1
663,9292,2172,13,0,1
589,7213,4046,9,0,0
635,16418,3332,1,0,1
685,12874,3663,13,0,1
815,7175,3729,5,0,0
677,3670,3703,6,0,0
527,11181,5592,11,0,1
719,13217,4383,9,0,1
540,11874,5233,5,0,1
727,15171,4367,6,0,0
691,14950,4197,0,0,1
644,13180,4427,5,0,0
700,12568,3352,10,1,0
711,7808,2928,2,0,0
719,4962,3224,0,0,0
739,16150,1529,7,0,0
545,12322,3686,3,0,1
534,15992,2355,9,1,0
752,2787,3090,7,0,1
581,8453,5677,9,0,0
755,6782,3385,13,0,0
696,4407,3517,10,0,0
802,3661,4821,3,0,0
509,2629,5691,3,0,0
811,8837,3711,11,0,0
785,4863,1649,13,0,1
741,10651,2554,9,0,1
750,8483,2493,3,0,1
504,2643,3665,5,0,0
618,10707,4302,13,0,1
788,9969,3049,8,0,1
564,17258,4375,4,0,0
645,2744,5481,11,0,0
723,3426,4399,12,1,0
738,5678,2433,9,0,0
676,17947,2637,13,0,1
766,4676,4552,14,0,0
840,7502,5230,7,0,0
781,3386,1452,7,0,1
562,11032,1218,3,0,1
716,12743,3959,14,0,0
841,5898,1422,10,0,1
814,16221,1202,9,0,1
782,14642,2459,8,0,1
676,10997,5523,8,0,0
597,11599,5794,4,0,0
604,5154,3768,5,0,0
598,14484,3085,4,0,0
810,9892,2499,2,0,1
505,14734,3538,10,0,0
696,3871,2276,7,0,0
632,9635,4958,8,0,0
758,2820,4381,14,0,0
522,7154,2147,3,0,1
552,14751,4938,8,0,0
664,7800,3931,8,0,0
701,9261,5207,6,0,1
582,9354,2069,7,0,1
644,8005,1293,14,0,0
584,16429,4187,2,0,0
577,11823,5855,14,0,0
500,13270,2975,4,0,1
550,9053,3460,2,0,0
672,6542,1635,6,0,0
704,14059,5500,5,0,1
759,11509,4344,10,0,1
787,15982,4787,2,0,0
533,9998,1276,8,0,0
847,9136,2015,11,0,1
594,9862,1967,0,0,1
571,2511,4885,9,0,0
538,2694,1305,2,0,0
653,5037,5116,14,0,0
749,5342,4073,14,0,0
661,17716,4546,14,0,0
617,4729,4348,10,0,0
758,5509,4348,14,0,1
805,10484,2665,9,1,0
767,15443,3787,10,0,1
553,16709,1444,6,0,1
735,17529,3825,2,1,0
721,4577,5049,13,1,0
750,16407,2605,2,0,1
812,10345,2181,1,0,1
611,6367,5008,8,0,0
754,15907,1341,10,0,0
802,7373,2092,3,0,1
706,11135,3599,9,0,1
728,2797,5840,12,1,0
840,15595,4160,5,0,1
565,8356,3399,1,0,0
574,11536,2669,8,0,0
602,3515,3900,14,0,1
691,3884,4205,6,0,0
751,12089,4574,9,0,0
725,11245,5919,4,0,1
793,4850,1855,6,0,0
805,15208,3968,13,0,1
597,3769,1242,3,0,1
837,3760,3511,12,0,0
785,10201,2860,9,0,1
834,10876,5891,12,0,1
846,7063,3424,14,0,0
807,9397,3310,6,0,1
748,13102,2157,1,0,1
665,16094,1760,6,0,1
834,8172,2530,14,0,1
529,15123,2512,3,0,0
746,12901,3021,3,0,1
605,8093,4202,0,0,0
550,14364,4603,11,0,0
580,8655,3851,2,0,0
632,8043,3014,4,0,1
784,9740,2941,4,0,1
637,7183,5901,1,0,0
683,4381,5008,3,0,0
829,14988,4077,0,1,0
772,11213,4470,14,0,1
839,12579,5283,8,0,1
568,13244,1945,0,0,1
533,6309,1757,5,0,1
761,8307,4501,6,0,1
552,7383,2141,2,0,0
704,9706,5223,11,0,1
625,6655,3496,14,0,1
734,7173,2139,0,0,1
542,15108,2810,6,0,1
739,16246,2925,2,0,1
610,14171,2184,12,0,1
748,16825,2787,9,0,1
650,15710,5221,11,0,1
682,3909,2536,11,0,0
835,12386,4337,5,0,1
594,15356,1861,12,0,1
507,7697,1232,11,0,1
683,9952,4614,13,0,1
780,11218,2356,5,0,1
694,17359,4326,13,0,1
694,13352,1260,11,0,1
654,4672,5128,3,0,0
592,15658,2743,11,0,1
659,2779,1471,10,0,0
560,13656,5276,5,0,0
621,6477,4588,10,0,0
550,5169,3952,9,0,1
776,13585,3909,3,0,1
504,16680,2354,14,0,1
591,10325,5605,12,0,1
669,12443,5053,7,0,0
816,6481,2945,8,0,1
521,7269,4632,1,0,0
825,7747,1537,6,0,1
500,13053,1209,8,0,0
632,6927,5344,8,1,0
732,15961,1930,11,0,1
511,8635,2848,4,0,0
845,8073,5428,0,0,0
545,6631,4854,5,0,0
533,12400,3330,14,0,0
577,16231,5671,7,0,0
717,9689,3596,0,0,0
800,17041,5566,1,0,1
572,13378,2706,12,0,0
781,13587,3358,12,0,1
748,16167,4116,0,0,1
546,7035,5371,4,0,0
620,5276,4429,1,0,0
713,11811,4803,14,0,1
738,13680,2866,9,1,1
555,14951,5624,9,0,0
849,14935,5336,13,0,0
606,10197,4169,3,0,0
818,17129,3889,0,0,1
547,10886,3526,6,0,0
560,3162,4010,7,0,0
836,11171,3716,4,0,1
525,10544,4671,1,0,1
791,6718,1212,7,0,1
756,12115,4170,0,0,0
507,17534,4821,14,0,1
612,7560,4883,6,0,1
752,13400,4673,0,0,1
679,13867,4322,11,0,1
706,8374,4664,5,0,1
802,8081,1852,12,1,0
626,14506,1820,5,0,1
555,4514,4990,14,0,0
713,6289,2845,4,0,1
513,15497,3443,14,0,1
527,13135,5712,1,0,0
577,11603,5959,1,0,0
715,16148,4691,8,0,1
653,9648,4911,4,0,1
513,10266,4888,4,0,0
686,13905,2579,6,0,0
811,4864,5443,5,1,0
506,16522,3245,1,0,1
502,6129,4248,10,0,0
610,8419,2588,0,0,0
737,8175,1601,4,0,1
738,14164,3853,3,0,1
773,11372,5524,11,0,1
793,16121,5123,2,0,0
726,9138,1467,1,0,1
514,7151,5421,9,0,1
691,3109,2925,1,0,0
618,10440,2312,13,0,1
527,12848,3875,14,0,0
701,6366,5984,3,0,0
538,2871,2480,1,0,0
772,9498,2432,3,0,1
730,3115,5576,2,0,1
585,9411,5738,8,0,0
625,8510,3063,6,0,0
799,4753,5684,13,0,0
524,7442,1816,12,0,0
644,14830,1346,10,0,1
512,3364,5816,14,0,1
711,3768,5925,11,1,0
524,9954,4877,2,0,0
567,16166,1488,12,1,0
566,11476,2609,14,0,1
732,7071,1213,13,0,1
608,14870,1456,7,0,1
645,7729,2921,8,0,0
610,4737,2623,12,0,1
727,6554,4190,6,0,0
610,15587,2395,5,0,0
533,3435,5759,3,0,0
610,14672,5565,4,0,0
763,8894,2444,7,0,1
735,10391,4423,2,0,0
582,13030,4670,1,0,0
541,16456,5367,2,0,0
600,2825,5169,11,0,0
505,12226,2506,6,0,1
679,14172,3321,7,1,0
781,10274,3602,0,0,1
819,6361,1696,12,0,1
725,4485,4599,6,0,1
814,16752,4806,8,0,1
728,7432,2109,11,0,1
788,7103,1572,12,0,1
649,5278,5657,13,0,0
776,16907,2544,13,1,0
697,11962,1523,14,0,0
569,11332,3631,2,0,0
611,17775,5870,14,0,0
503,16666,3984,2,0,0
849,15395,3593,7,0,1
830,10254,5120,3,1,0
817,16746,2415,13,0,1
849,6578,2895,7,1,0
594,15353,3107,4,0,1
651,3867,1980,13,0,0
810,6542,2219,2,0,1
636,16889,4465,14,0,0
746,16541,2603,3,0,1
742,5075,2626,13,1,0
530,9254,1863,3,0,1
539,14295,3847,7,0,1
728,4081,1210,5,0,1
535,4486,2238,6,0,0
722,4740,4025,8,0,1
505,6466,4203,14,0,0
821,12797,5880,5,0,1
719,10104,2275,2,0,1
574,17970,4288,14,0,1
503,10820,2989,12,0,0
834,8468,4236,2,0,0
633,15493,4853,10,0,1
617,14688,4375,2,0,1
593,11543,5499,11,0,0
561,9993,2276,9,1,0
693,6603,2173,1,0,1
834,4576,3065,0,0,1
702,7731,4325,10,0,0
525,5494,2499,9,0,0
672,6244,4606,0,0,0
799,16966,2358,3,0,1
632,17023,4329,2,0,1
825,16486,1304,4,1,0
617,13448,4767,11,0,0
823,8094,5548,8,0,0
774,10031,5590,11,0,1
711,9871,2381,12,0,1
724,17047,5844,7,0,0
519,4144,4338,11,0,0
612,15063,5594,8,0,1
639,5644,4734,12,0,0
546,16490,5396,4,0,1
500,16583,4327,7,0,1
589,2742,2974,3,0,0
641,6585,5014,4,1,0
819,10454,1291,14,0,1
537,9769,1646,11,0,1
792,9630,1308,2,0,1
638,9328,5612,4,0,0
832,10862,4439,11,0,1
758,11344,5253,2,0,0
660,16720,5737,4,0,0
677,8831,2445,10,0,0
509,6012,3920,13,0,1
760,15897,1477,4,0,0
637,3999,4256,5,0,0
671,12791,5864,8,0,1
512,4658,4122,0,0,0
667,12664,3713,11,0,1
629,17712,2038,9,0,0
583,14617,4001,13,0,0
820,7662,1229,5,0,1
818,12950,2457,0,0,1
600,6539,1564,5,1,0
828,4535,3000,1,0,0
772,13963,2104,7,0,1
764,10477,5993,10,0,1
537,3357,3378,2,0,0
593,6323,4050,9,0,0
594,9270,4036,13,0,0
804,11741,5646,5,0,0
568,14682,1379,5,0,0
817,2798,5073,14,0,1
735,9744,5160,3,0,0
833,3423,2386,4,0,0
636,6732,5159,1,1,0
575,15831,1973,9,0,1
534,17275,5805,14,0,1
500,6806,5660,9,0,0
795,5299,1552,7,0,1
